feature,VIF
sme_sector,inf
sector_name_Services,inf
disbursed_amount,36.03040735719936
asset_cost,33.71623488551334
PRI.SANCTIONED.AMOUNT,16.877767308870833
PRI.CURRENT.BALANCE,15.904105577693608
ltv,15.193749665012076
SEC.SANCTIONED.AMOUNT,11.346468618880563
SEC.CURRENT.BALANCE,10.302821974456558
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Not Scored,7.990403256390767
Aadhar_flag,7.1001608690302405
VoterID_flag,6.310763851700671
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Very Low Risk,5.671954257603156
SEC.ACTIVE.ACCTS,4.9703138499239605
SEC.NO.OF.ACCTS,4.876037451341787
DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,4.540853617804691
Delinquent,4.221182568162252
PRI.ACTIVE.ACCTS,3.6117530356887264
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Low Risk,2.8023209851621487
PRI.OVERDUE.ACCTS,2.4022523671706577
NEW.ACCTS.IN.LAST.SIX.MONTHS,2.3693917331726304
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Medium Risk,2.0744134954721596
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Very High Risk,1.9559121481202855
Driving_flag,1.8724748768933408
state_name_cnt,1.8331074781131969
district_name_cnt,1.78585520772902
bsr_activity_cd,1.7588359948882581
scheme_cd_cnt,1.6735471446403953
module_id_cdcc ,1.5113472851746224
SEC.OVERDUE.ACCTS,1.5005619662455216
industry_name_cnt,1.3427379380336082
SEC.INSTAL.AMT,1.1528449614089318
region_name_cnt,1.1295191267386517
sme_category_SMALL,1.1111394785421724
bsr_org_cd,1.1103028382158453
branch_name_cnt,1.0933230845746524
Passport_flag,1.0608304398070219
PRIMARY.INSTAL.AMT,1.0533923001935837
PAN_flag,1.0528830065676704
Employment.Type_Self employed,1.0244272510241774
Age_of_Loan,1.0150954293035908
open_dt_day_cnt,1.001523132437032
MobileNo_Avl_Flag,0.0
